query,description,platform
"site:{ARG} \"credential\" OR \"credentials\"","Procura referências a credenciais em páginas públicas (uso defensivo)","DuckDuckGo"
"site:{ARG} \"index of\" \"private\"","Procura diretórios com rótulos que indiquem conteúdo privado — revisão necessária","DuckDuckGo"
"port:{ARG}","Contagem/identificação de hosts com uma porta específica visível publicamente (inventário autorizado)","Shodan"
"port:22","Inventário de hosts com SSH exposto publicamente — para gestão de patching e políticas","Shodan"
"port:3389","Localiza instâncias RDP expostas para revisão e mitigação (uso por administrador)","Shodan"
"port:443 product:\"nginx\"","Identifica servidores nginx na porta 443 para planejamento de atualização","Shodan"
"product:\"apache\"","Inventaria servidores Apache visíveis publicamente (gestão de superfície)","Shodan"
"org:\"{ARG}\"","Agrega resultados pertencentes à organização nomeada — inventário autorizado","Shodan"
"net:\"{ARG}\"","Pesquisa hosts dentro de um bloco de rede específico (use somente em redes que você administra)","Shodan"
"asn:{ARG}","Filtra por ASN para analisar ativos sob um mesmo provedor/organização (auditoria)","Shodan"
"country:{ARG}","Segmenta resultados por país para análise regional da superfície de ataque (estatística)","Shodan"
"hostname:\"*.{ARG}\"","Encontra hosts cujo hostname corresponde ao seu domínio para inventário (autorizado)","Shodan"
"os:\"{ARG}\"","Mapeia sistemas que reportam determinado sistema operacional — para planejamento de patch","Shodan"
"port:3306","Identifica serviços de banco de dados MySQL/MariaDB expostos (para notificação e correção)","Shodan"
"port:21","Inventário de servidores FTP públicos para revisar necessidade e configuração","Shodan"
"ssl.cert.issuer.cn:\"{ARG}\"","Filtra hosts por emissor de certificado para auditar certificados emitidos a sua organização","Shodan"
"after:{ARG}","Filtra resultados indexados após uma data (análise temporal de exposição)","Shodan"
"before:{ARG}","Filtra resultados indexados antes de uma data (comparações históricas)","Shodan"
"hostname:\"{ARG}\" country:{ARG}","Verifica presença de um hostname da sua organização em um país específico (uso autorizado)","Shodan"
"tag:{ARG}","Usa tags/metadados da sua conta empresarial para organizar e filtrar ativos (gestão interna)","Shodan"
"port:{ARG} product:\"{ARG}\"","Combina porta e produto para inventário direcionado (ex.: port:443 product:\"nginx\")","Shodan"
"org:\"{ARG}\" after:{ARG}","Avalia mudanças nos ativos da organização desde uma data específica (auditoria histórica)","Shodan"
"country:{ARG} encryption:{ARG}","Análise estatística por país e tipo de encriptação (uso agregado)","Wigle.net"
"state:{ARG} lastupdt:>{ARG}","Filtra pontos por estado e por última atualização para análises temporais (uso autorizado)","Wigle.net"
"lat:{ARG} lon:{ARG} radius:{ARG}","Pesquisa agregada de pontos dentro de um raio geográfico para planejamento de rede (uso legítimo)","Wigle.net"
"ssid:{ARG} firsttime:>{ARG}","Verifica presença do próprio SSID em registros a partir de uma data (autorizado)","Wigle.net"
"netid:{ARG}","Consulta por netid (uso legítimo para validar registros que pertençam a você)","Wigle.net"
"bssid:{ARG} firsttime:<{ARG}","Busca histórica de um BSSID específico pertencente a você para auditoria de privacidade","Wigle.net"
"lastupdt:>{ARG} freenet:false","Analisa tendências de redes atualizadas recentemente com criptografia (estatística)","Wigle.net"
"encryption:{ARG}","Filtra por tipo de criptografia para estudos estatísticos e campanhas de conscientização (uso agregado)","Wigle.net"
"country:{ARG} count","Obtém contagem agregada de redes por país para relatórios (não identificar redes individuais)","Wigle.net"
"state:{ARG} ssidcount","Gera número de SSIDs únicos por estado para análise de densidade (estatística)","Wigle.net"
"latrange:{ARG} lonrange:{ARG}","Define uma bounding box para análises geográficas agregadas (planejamento de cobertura)","Wigle.net"
"firsttime:<{ARG} lastupdt:>{ARG}","Analisa redes registradas no passado com atualizações recentes — tendência temporal (uso autorizado)","Wigle.net"
"encryption:WPA2 country:{ARG}","Avalia adoção de WPA2 em uma região para campanhas de segurança (uso público/estatístico)","Wigle.net"
"freenet:false country:{ARG}","Estima proporção de redes protegidas (agregado por país) para relatórios de segurança","Wigle.net"
"ssid:{ARG} netid:{ARG}","Correlaciona SSID e netid — uso apenas para confirmar registros que pertençam a você","Wigle.net"
"bssid:{ARG} country:{ARG}","Verifica se um BSSID que você administra aparece listado em determinado país (autorizado)","Wigle.net"
"firsttime:>{ARG} encryption:OPEN","Estudo estatístico sobre novas redes abertas registradas após uma data — uso para análise educativa","Wigle.net"
"lastupdt:>{ARG} lat:{ARG} lon:{ARG}","Análise temporal e geográfica com foco em suas próprias coordenadas de interesse (auditoria autorizada)","Wigle.net"
"country:{ARG} encryption:WPA3","Avalia presença de WPA3 por país — relatório de adoção tecnológica (agregado)","Wigle.net"
